Study ID,title,doi,Slot,O,C,E,A,N,Physics insertion,Claim boundary
S108,Global Seasonal Forecasts of Marine Heatwaves,10.1038/s41586-022-04573-9,1,O0,C0,E1,A0,N1,none,B_OFFLINE_TO_OPERATIONAL
S108,Global Seasonal Forecasts of Marine Heatwaves,10.1038/s41586-022-04573-9,2,,,,,,,
S109,Seasonal Forecasting of Subsurface Marine Heatwaves,10.1038/s43247-023-00892-5,1,O0,C0,E1,A0,N1,none,B_OFFLINE_TO_OPERATIONAL
S109,Seasonal Forecasting of Subsurface Marine Heatwaves,10.1038/s43247-023-00892-5,2,,,,,,,
S110,Machine Learning Methods to Predict Sea Surface Temperature and Marine Heatwave Occurrence: A Case Study of the Mediterranean Sea,10.5194/os-20-417-2024,1,O0,C0,E1,A0,N0,none,B_OFFLINE_TO_OPERATIONAL
S110,Machine Learning Methods to Predict Sea Surface Temperature and Marine Heatwave Occurrence: A Case Study of the Mediterranean Sea,10.5194/os-20-417-2024,2,,,,,,,
S111,Multi-Month Forecasts of Marine Heatwaves and Ocean Acidification Extremes,10.1038/s41561-024-01593-0,1,O0,C0,E1,A0,N1,none,B_OFFLINE_TO_OPERATIONAL
S111,Multi-Month Forecasts of Marine Heatwaves and Ocean Acidification Extremes,10.1038/s41561-024-01593-0,2,,,,,,,
S112,Seasonal Arctic Sea Ice Forecasting with Probabilistic Deep Learning,10.1038/s41467-021-25257-4,1,O1,C0,E1,A0,N1;N2,none,B_OFFLINE_TO_OPERATIONAL
S112,Seasonal Arctic Sea Ice Forecasting with Probabilistic Deep Learning,10.1038/s41467-021-25257-4,2,,,,,,,
S113,Deep Learning Subgrid-Scale Parametrisations for Short-Term Forecasting of Sea-Ice Dynamics with a Maxwell Elasto-Brittle Rheology,10.5194/tc-17-2965-2023,1,O0,C2;C3,E2,A0,N2,representation;solver_coupling,B_SIMULATION_TO_FIELD
S113,Deep Learning Subgrid-Scale Parametrisations for Short-Term Forecasting of Sea-Ice Dynamics with a Maxwell Elasto-Brittle Rheology,10.5194/tc-17-2965-2023,2,,,,,,,
S114,Data-Driven Surrogate Modeling of High-Resolution Sea-Ice Thickness in the Arctic,10.5194/tc-18-1791-2024,1,O0,C2,E2,A0,N2,representation,B_SIMULATION_TO_FIELD
S114,Data-Driven Surrogate Modeling of High-Resolution Sea-Ice Thickness in the Arctic,10.5194/tc-18-1791-2024,2,,,,,,,
S115,Climate-Invariant Machine Learning,10.1126/sciadv.adj7250,1,O0,C2,E0,A0,N2,representation,B_SIMULATION_TO_FIELD
S115,Climate-Invariant Machine Learning,10.1126/sciadv.adj7250,2,,,,,,,
S116,Can AI Weather Models Predict Out-of-Distribution Gray Swan Tropical Cyclones?,10.1073/pnas.2420914122,1,O0,C0,E1,A0,N2,none,B_OFFLINE_TO_OPERATIONAL
S116,Can AI Weather Models Predict Out-of-Distribution Gray Swan Tropical Cyclones?,10.1073/pnas.2420914122,2,,,,,,,
S117,"Sonar-Based Deep Learning in Underwater Robotics: Overview, Robustness, and Challenges",10.1109/JOE.2025.3531933,1,,,,,,,
S117,"Sonar-Based Deep Learning in Underwater Robotics: Overview, Robustness, and Challenges",10.1109/JOE.2025.3531933,2,,,,,,,
S118,Towards Robust Data-Driven Underwater Acoustic Localization: A Deep CNN Solution with Performance Guarantees for Model Mismatch,10.1109/ICASSP49357.2023.10094981,1,O2,C0,E0,A0,N2,none,B_SIMULATION_TO_FIELD
S118,Towards Robust Data-Driven Underwater Acoustic Localization: A Deep CNN Solution with Performance Guarantees for Model Mismatch,10.1109/ICASSP49357.2023.10094981,2,,,,,,,
S119,Advances and Applications of Machine Learning in Underwater Acoustics,10.1007/s44295-023-00005-0,1,,,,,,,
S119,Advances and Applications of Machine Learning in Underwater Acoustics,10.1007/s44295-023-00005-0,2,,,,,,,
S120,Long-Term Predictions of Loop Current Eddy Evolutions Using OceanNet: A Fourier Neural Operator-Based Data-Driven Ocean Emulator,10.1175/AIES-D-24-0039.1,1,O0,C0,E1,A0,N0,none,B_OFFLINE_TO_OPERATIONAL
S120,Long-Term Predictions of Loop Current Eddy Evolutions Using OceanNet: A Fourier Neural Operator-Based Data-Driven Ocean Emulator,10.1175/AIES-D-24-0039.1,2,,,,,,,
S121,Vertical Structures of Marine Heatwaves,10.1038/s41467-023-42219-0,1,,,,,,,
S121,Vertical Structures of Marine Heatwaves,10.1038/s41467-023-42219-0,2,,,,,,,
S122,Intensification of Future Subsurface Marine Heatwaves in an Eddy-Resolving Model,10.1038/s41467-024-54946-z,1,,,,,,,
S122,Intensification of Future Subsurface Marine Heatwaves in an Eddy-Resolving Model,10.1038/s41467-024-54946-z,2,,,,,,,
S123,Principled Fourier Neural Operators for High-Resolution Regional Ocean Modeling,10.1029/2025JH001131,1,O0,C2,E1,A0,N2,representation,B_OFFLINE_TO_OPERATIONAL
S123,Principled Fourier Neural Operators for High-Resolution Regional Ocean Modeling,10.1029/2025JH001131,2,,,,,,,
S124,Deep Unsupervised Adversarial Domain Adaptation for Underwater Source Range Estimation,10.1121/10.0022380,1,O2,C0,E0,A0,N2,none,B_DEVELOPER_TO_INDEPENDENT
S124,Deep Unsupervised Adversarial Domain Adaptation for Underwater Source Range Estimation,10.1121/10.0022380,2,,,,,,,
S125,Unsupervised Domain Adaptation for Source Localization Using Ships of Opportunity with a Deep Vertical Line Array,10.1109/JOE.2023.3301089,1,O2,C0,E0,A0,N2,none,B_DEVELOPER_TO_INDEPENDENT
S125,Unsupervised Domain Adaptation for Source Localization Using Ships of Opportunity with a Deep Vertical Line Array,10.1109/JOE.2023.3301089,2,,,,,,,
S126,Alleviating Negative Transfer Using Unsupervised Adversarial Partial Domain Adaptation for Underwater Source Range Estimation,10.1121/10.0039634,1,O2,C0,E0,A0,N2,none,B_DEVELOPER_TO_INDEPENDENT
S126,Alleviating Negative Transfer Using Unsupervised Adversarial Partial Domain Adaptation for Underwater Source Range Estimation,10.1121/10.0039634,2,,,,,,,
S127,Joint Source--Environment Adaptation of Data-Driven Underwater Acoustic Source Ranging Based on Model Uncertainty,10.1109/JOE.2025.3638518,1,O2,C1,E3,A0,N1;N2,inference,B_DEVELOPER_TO_INDEPENDENT
S127,Joint Source--Environment Adaptation of Data-Driven Underwater Acoustic Source Ranging Based on Model Uncertainty,10.1109/JOE.2025.3638518,2,,,,,,,
S128,Object-Based Evaluation of Seasonal-to-Multiyear Marine Heatwave Predictions,10.1029/2025GL115021,1,O0,C0,E1,A0,N0,none,B_OFFLINE_TO_OPERATIONAL
S128,Object-Based Evaluation of Seasonal-to-Multiyear Marine Heatwave Predictions,10.1029/2025GL115021,2,,,,,,,
S129,Benchmark Dataset and Deep Learning Method for Global Tropical Cyclone Forecasting,10.1038/s41467-025-61087-4,1,O1,C0,E1,A0,N0,none,B_OFFLINE_TO_OPERATIONAL
S129,Benchmark Dataset and Deep Learning Method for Global Tropical Cyclone Forecasting,10.1038/s41467-025-61087-4,2,,,,,,,
S130,A Regional Artificial Intelligence Model for Skillful Typhoon Prediction,10.1038/s44304-026-00219-2,1,O1,C0,E2,A0,N0,none,B_OFFLINE_TO_OPERATIONAL
S130,A Regional Artificial Intelligence Model for Skillful Typhoon Prediction,10.1038/s44304-026-00219-2,2,,,,,,,
S131,Sea Ice Data Assimilation in ORAS6,10.5194/tc-20-3299-2026,1,O2,C1,E0,A0,N0,inference,B_OFFLINE_TO_OPERATIONAL
S131,Sea Ice Data Assimilation in ORAS6,10.5194/tc-20-3299-2026,2,,,,,,,
S132,Enhanced Prediction Skill of Antarctic Sea Ice through Sea Ice Thickness Assimilation,10.5194/tc-20-3795-2026,1,O2,C1,E0,A0,N0,inference,B_OFFLINE_TO_OPERATIONAL
S132,Enhanced Prediction Skill of Antarctic Sea Ice through Sea Ice Thickness Assimilation,10.5194/tc-20-3795-2026,2,O2,C1,E1,A0,N0,inference,B_OFFLINE_TO_OPERATIONAL
S133,The Effects of Assimilating a Sub-grid-scale Sea Ice Thickness Distribution in a New Arctic Sea Ice Data Assimilation System,10.5194/tc-17-2509-2023,1,O2,C1,E0,A0,N0,inference,B_OFFLINE_TO_OPERATIONAL
S133,The Effects of Assimilating a Sub-grid-scale Sea Ice Thickness Distribution in a New Arctic Sea Ice Data Assimilation System,10.5194/tc-17-2509-2023,2,,,,,,,
S134,Reconstruction of Arctic Sea Ice Thickness (1992--2010) Based on a Hybrid Machine Learning and Data Assimilation Approach,10.5194/tc-19-731-2025,1,O2,C1,E0,A0,N2,inference,B_OFFLINE_TO_OPERATIONAL
S134,Reconstruction of Arctic Sea Ice Thickness (1992--2010) Based on a Hybrid Machine Learning and Data Assimilation Approach,10.5194/tc-19-731-2025,2,,,,,,,
S135,Sea Ice Albedo Bounded Data Assimilation and Its Impact on Modeling: A Regional Approach,10.5194/tc-20-1523-2026,1,O2,C1,E0,A0,N0,objective_or_projection;inference,B_SIMULATION_TO_FIELD
S135,Sea Ice Albedo Bounded Data Assimilation and Its Impact on Modeling: A Regional Approach,10.5194/tc-20-1523-2026,2,,,,,,,
S136,SSFDiffusion: A Degradation-Aware Diffusion Model for Ocean Sound Speed Field Super-Resolution,10.1109/JSTARS.2026.3676542,1,O2,C0,E0,A0,N2,none,B_OFFLINE_TO_OPERATIONAL
S136,SSFDiffusion: A Degradation-Aware Diffusion Model for Ocean Sound Speed Field Super-Resolution,10.1109/JSTARS.2026.3676542,2,,,,,,,
S137,Gain Assessment of Environmental-Informed Subarray Processing: The ALMA 2017 Example,10.1109/JOE.2026.3657278,1,O2,C1,E0,A0,N2,inference,B_DEVELOPER_TO_INDEPENDENT
S137,Gain Assessment of Environmental-Informed Subarray Processing: The ALMA 2017 Example,10.1109/JOE.2026.3657278,2,,,,,,,
S138,Testing and Evaluation of Underwater Vehicle Using Hardware-in-the-Loop Simulation with HoloOcean,10.23919/OCEANS59106.2025.11245188,1,O3,C0,E2,A2,N2,solver_coupling,B_CONTROLLED_TO_OPEN_OCEAN
S138,Testing and Evaluation of Underwater Vehicle Using Hardware-in-the-Loop Simulation with HoloOcean,10.23919/OCEANS59106.2025.11245188,2,,,,,,,
S139,Foundation Models on the Bridge: Semantic Hazard Detection and Safety Maneuvers for Maritime Autonomy with Vision-Language Models,10.1016/j.oceaneng.2026.124646,1,O2,C0,E0,A0,N2,none,B_DEVELOPER_TO_INDEPENDENT
S139,Foundation Models on the Bridge: Semantic Hazard Detection and Safety Maneuvers for Maritime Autonomy with Vision-Language Models,10.1016/j.oceaneng.2026.124646,2,O3,C0,E2,A2,N3,none,B_DEVELOPER_TO_INDEPENDENT
S140,Reliability Assessment and Safety Arguments for Machine Learning Components in System Assurance,10.1145/3570918,1,O2,C0,E0,A0,N3,none,B_DEVELOPER_TO_INDEPENDENT
S140,Reliability Assessment and Safety Arguments for Machine Learning Components in System Assurance,10.1145/3570918,2,O2,C0,E0,A0,N3,none,B_DEVELOPER_TO_INDEPENDENT
S141,Autonomous Sea Turtle Robot for Marine Fieldwork,10.48550/arXiv.2602.21389,1,O3,C0,E2,A2,N0,none,B_CONTROLLED_TO_OPEN_OCEAN
S141,Autonomous Sea Turtle Robot for Marine Fieldwork,10.48550/arXiv.2602.21389,2,O3,C0,E2,A2,N2,none,B_CONTROLLED_TO_OPEN_OCEAN
S142,Recent Advances and Opportunities for Multi-Robot Systems in Oceanography,10.3389/fmars.2026.1823155,1,,,,,,,
S142,Recent Advances and Opportunities for Multi-Robot Systems in Oceanography,10.3389/fmars.2026.1823155,2,,,,,,,
