citation_key,evaluation_setting,variant,configuration_label,claim_endpoint,O_levels,C_levels,E_levels,A_levels,N_levels,physics_insertion,source_section,source_page,source_evidence,anchor_url,anchor_basis,verification_status,verified_on
hendrycks2017ood,D,,OOD detection benchmark,out-of-distribution example detection,O0,C0,E0,A0,N2,none,Method; Experimental evaluation on in- and out-of-distribution data,HTML n.p. (stable named section),The cited full-text method and evaluation report the retained endpoint: out-of-distribution example detection.,https://openreview.net/forum?id=Hkg4TI9xl,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
zanna2025hybrid,D,,offline hybrid-component evaluation,offline learned component in a hybrid ocean-model framework,O0,C2,E1,A0,N2,representation,Hybrid framework; Offline component evaluation,HTML n.p. (stable named section),Preprint framework for hybrid physics--AI coupling.,https://doi.org/10.48550/arXiv.2510.22676,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
zanna2025hybrid,S,,online hybrid physics-AI coupling,coupled physics-AI ocean-model simulation,O0,C2;C3,E1,A0,N2,representation;solver_coupling,Hybrid framework; Online coupled evaluation,HTML n.p. (stable named section),Preprint framework for hybrid physics--AI coupling.,https://doi.org/10.48550/arXiv.2510.22676,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
chen2026sonarkan,S,,SonarKAN passive-sonar evaluation,passive-sonar representation/disentanglement under simulated variation,O0,C2,E0,A0,N2,representation,SonarKAN architecture; Passive-sonar experiments and ablations,HTML n.p. (stable named section),"Simulation-based preprint; supports discussion of physics-aligned passive-sonar parameterization, not field validation.",https://doi.org/10.21203/rs.3.rs-8942861/v1,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
chen2025underwaterpinn,S,,underwater acoustic PINN prediction,underwater acoustic-field prediction,O0,C1,E1,A0,N2,objective_or_projection,Physics-informed formulation; Underwater acoustic-field experiments,published pp. 1665305 (section-located),Physics-informed underwater acoustic-field prediction study; publisher correction of 7 July 2026 recorded without changing citation metadata.,https://doi.org/10.3389/fmars.2025.1665305,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
jacox2022mhw,D,,global seasonal MHW forecast,seasonal marine-heatwave forecast skill,O0,C0,E1,A0,N1;N2,none,Forecast system and event definition; Probabilistic forecast evaluation,published pp. 486–490 (section-located),"The source evaluates ensemble MHW probabilities with Brier skill score in addition to event/region/lead-time variation, supporting proper-score evidence and named-regime testing.",https://doi.org/10.1038/s41586-022-04573-9,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
mcadam2023subsurfaceMHW,D,,subsurface MHW forecast,seasonal subsurface marine-heatwave forecast skill,O0,C0,E1,A0,N2,none,Methods—subsurface event definition; Forecast results by depth,published pp. 225 (section-located),Subsurface extreme forecasting distinguishes surface verification from depth-resolved events.,https://doi.org/10.1038/s43247-023-00892-5,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
bonino2024mhwML,D,,Mediterranean MHW ML forecast,SST and marine-heatwave occurrence prediction,O0,C2,E1,A0,N2,representation,Sec. 2 Data and methods; Sec. 3 Forecast results,published pp. 417–432 (section-located),"Regional machine-learning evidence for event definition, horizon, and predictor dependence.",https://doi.org/10.5194/os-20-417-2024,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
mogen2024marineExtremes,D,,marine heatwave/acidification extreme forecast,multi-month compound marine-extreme forecast skill,O0,C0,E1,A0,N2,none,Compound-event definition and forecast method; Evaluation results,published pp. 1261–1267 (section-located),Compound-extreme forecasts used to motivate event-type-specific and multivariate evaluation.,https://doi.org/10.1038/s41561-024-01593-0,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
andersson2021icenet,D,,IceNet probabilistic sea-ice forecast,probabilistic seasonal Arctic sea-ice forecast skill,O0,C2,E1,A0,N1;N2,representation,IceNet architecture and probabilistic objective; Forecast evaluation; Methods,published pp. 5124 (section-located),Probabilistic sea-ice forecasting evidence used for regime and calibration discussion.,https://doi.org/10.1038/s41467-021-25257-4,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
finn2023seaiceSubgrid,S,,sea-ice subgrid parameterization,short-term coupled sea-ice dynamics with learned subgrid parameterization,O0,C2;C3,E1,A0,N2,representation;solver_coupling,Sec. 2 Model and parameterization; Sec. 3 Coupled experiments,published pp. 2965–2991 (section-located),Subgrid sea-ice correction used to motivate resolution and closure transfer tests.,https://doi.org/10.5194/tc-17-2965-2023,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
durand2024seaiceSurrogate,S,,sea-ice thickness surrogate,high-resolution Arctic sea-ice-thickness surrogate simulation,O0,C2,E1,A0,N2,representation,Sec. 2 Data and surrogate; Sec. 3 Reconstruction experiments,published pp. 1791–1815 (section-located),High-resolution surrogate evidence used to distinguish field skill from recovered small-scale structure.,https://doi.org/10.5194/tc-18-1791-2024,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
beucler2024climateInvariant,S,,climate-invariant ML evaluation,offline process-model accuracy across climate regimes,O0,C2,E0,A0,N2,representation,Climate-invariant representation; Cross-climate experiments; Methods,published pp. eadj7250 (section-located),"The source evaluates physically informed process representations offline across climate conditions/configurations; this is not a temporal forecast endpoint, while the climate-informed representation supports C2.",https://doi.org/10.1126/sciadv.adj7250,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
