configuration_id,study_id,citation_key,title,configuration_label,claim_endpoint,evaluation_setting,extraction_decision,extraction_basis,supported_claim,claim_boundary_code,unsupported_claim,source_section,source_page,source_evidence,anchor_url,anchor_basis,locator_status,verified_on,O_levels,C_levels,E_levels,A_levels,N_levels,physics_insertion,O_evidence_summary,C_evidence_summary,E_evidence_summary,A_evidence_summary,N_evidence_summary
S067-C01,S067,holmberg2026njord,Njord: A Probabilistic Graph Neural Network for Ensemble Ocean Forecasting,Njord probabilistic ocean forecast,probabilistic ensemble ocean forecast skill,D,single,single evaluated endpoint and setting,probabilistic ensemble ocean forecast skill,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Probabilistic model and training; Forecast evaluation,HTML n.p. (stable named section),The cited full-text method and evaluation report the retained endpoint: probabilistic ensemble ocean forecast skill.,https://doi.org/10.48550/arXiv.2605.15470,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18,O0,C2,E1,A0,N1;N2,representation,O0: gridded or single-source observations,C2: physics-structured representation,E1: forecasting or emulation,A0: passive analysis,"N1: calibrated uncertainty; N2: shift, regime, fault, or recovery evaluation"
S068-C01,S068,huang2026fuxions,Data-Driven Ensemble Prediction of the Global Ocean,FuXi-ENS ensemble ocean prediction,global ensemble-ocean predictive distribution,D,single,single evaluated endpoint and setting,global ensemble-ocean predictive distribution,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Ensemble construction; Probabilistic forecast evaluation,HTML n.p. (stable named section),The cited full-text method and evaluation report the retained endpoint: global ensemble-ocean predictive distribution.,https://doi.org/10.48550/arXiv.2603.19591,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18,O0,C2,E1,A0,N1;N2,representation,O0: gridded or single-source observations,C2: physics-structured representation,E1: forecasting or emulation,A0: passive analysis,"N1: calibrated uncertainty; N2: shift, regime, fault, or recovery evaluation"
S069-C01,S069,zhang2025oceancastnet,Ocean Wave Forecasting with Deep Learning as Alternative to Conventional Models,OceanCastNet wave forecast,ocean-wave forecast skill,D,single,single evaluated endpoint and setting,ocean-wave forecast skill,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,OceanCastNet method; Wave-forecast experiments and ablations,HTML n.p. (stable named section),The cited full-text method and evaluation report the retained endpoint: ocean-wave forecast skill.,https://doi.org/10.1029/2025MS005285,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18,O0,C2,E1,A0,N2,representation,O0: gridded or single-source observations,C2: physics-structured representation,E1: forecasting or emulation,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S070-C01,S070,ross2023subgridbenchmark,Benchmarking of Machine Learning Ocean Subgrid Parameterizations in an Idealized Model,offline subgrid-parameterization benchmark,offline parameterization error/diagnostics,D,split,separate endpoint or setting,offline parameterization error/diagnostics,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Methods—parameterizations; Offline evaluation,HTML n.p. (stable named section),"The benchmark explicitly compares physics-constrained neural networks and equation-discovery parameterizations with spatial derivatives, supporting both constrained and structure-aware mechanisms offline.",https://doi.org/10.1029/2022MS003258,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18,O0,C1;C2,E1,A0,N2,objective_or_projection;representation,O0: gridded or single-source observations,"C1: constraint in the objective, projection, or inference step; C2: physics-structured representation",E1: forecasting or emulation,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S070-C02,S070,ross2023subgridbenchmark,Benchmarking of Machine Learning Ocean Subgrid Parameterizations in an Idealized Model,coupled idealized-model parameterization benchmark,coupled simulation behavior with learned subgrid parameterization,S,split,separate endpoint or setting,coupled simulation behavior with learned subgrid parameterization,B_SIMULATION_TO_FIELD,Boundary: simulation/replay.,Methods—parameterizations; Coupled-model evaluation,HTML n.p. (stable named section),The benchmark explicitly compares physics-constrained neural networks and equation-discovery parameterizations and implements them online in the idealized ocean model.,https://doi.org/10.1029/2022MS003258,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18,O0,C1;C2;C3,E1,A0,N2,objective_or_projection;representation;solver_coupling,O0: gridded or single-source observations,"C1: constraint in the objective, projection, or inference step; C2: physics-structured representation; C3: online solver coupling",E1: forecasting or emulation,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S071-C01,S071,guillaumin2021stochastic,Stochastic-Deep Learning Parameterization of Ocean Momentum Forcing,offline stochastic momentum-forcing fit,offline stochastic momentum-forcing parameterization,D,split,separate endpoint or setting,offline stochastic momentum-forcing parameterization,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Stochastic CNN and NLL objective; Offline evaluation,HTML n.p. (stable named section),"The CNN predicts a Gaussian mean and standard deviation and is trained with negative log likelihood, a proper probabilistic score, while testing geographic/climate transfer. The generic CNN is not treated as a physics-specific representation.",https://doi.org/10.1029/2021MS002534,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18,O0,C0,E1,A0,N1;N2,none,O0: gridded or single-source observations,C0: no computation-altering physical insertion established,E1: forecasting or emulation,A0: passive analysis,"N1: calibrated uncertainty; N2: shift, regime, fault, or recovery evaluation"
S071-C02,S071,guillaumin2021stochastic,Stochastic-Deep Learning Parameterization of Ocean Momentum Forcing,coupled stochastic momentum-forcing simulation,coupled simulation with learned stochastic forcing,S,split,separate endpoint or setting,coupled simulation with learned stochastic forcing,B_SIMULATION_TO_FIELD,Boundary: simulation/replay.,Stochastic CNN and NLL objective; Online model simulations,HTML n.p. (stable named section),"The stochastic CNN parameterization is implemented online in an idealized ocean model after probabilistic NLL training and transfer tests; solver coupling is explicit, but no physics-specific neural representation is inferred.",https://doi.org/10.1029/2021MS002534,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18,O0,C3,E1,A0,N1;N2,solver_coupling,O0: gridded or single-source observations,C3: online solver coupling,E1: forecasting or emulation,A0: passive analysis,"N1: calibrated uncertainty; N2: shift, regime, fault, or recovery evaluation"
S072-C01,S072,frezat2021invariance,Physical Invariance in Neural Networks for Subgrid-Scale Scalar Flux Modeling,invariant subgrid-flux model,subgrid scalar-flux modeling under physical invariance,S,single,single evaluated endpoint and setting,subgrid scalar-flux modeling under physical invariance,B_SIMULATION_TO_FIELD,Boundary: simulation/replay.,Invariant architecture and loss; A-priori and a-posteriori results,HTML n.p. (stable named section),The cited full-text method and evaluation focus on explicitly enforcing physical invariance in a neural subgrid model.,https://doi.org/10.1103/PhysRevFluids.6.024607,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18,O0,C1;C2,E0,A0,N2,objective_or_projection;representation,O0: gridded or single-source observations,"C1: constraint in the objective, projection, or inference step; C2: physics-structured representation",E0: state reconstruction or same-time inference,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S073-C01,S073,perezhogin2024stable,A Stable Implementation of a Data-Driven Scale-Aware Mesoscale Parameterization,offline scale-aware parameterization test,offline parameterization skill and stability diagnostics,D,split,separate endpoint or setting,offline parameterization skill and stability diagnostics,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Scale-aware parameterization; Offline evaluation,HTML n.p. (stable named section),The interpretable equation-discovery parameterization uses velocity-gradient-tensor structure and scale-aware physical form. Numerical filtering is treated as implementation stabilization rather than a separate C1 learning constraint.,https://doi.org/10.1029/2023MS004104,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18,O0,C2,E1,A0,N2,representation,O0: gridded or single-source observations,C2: physics-structured representation,E1: forecasting or emulation,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S073-C02,S073,perezhogin2024stable,A Stable Implementation of a Data-Driven Scale-Aware Mesoscale Parameterization,coupled stable mesoscale parameterization,coupled-model stability with learned mesoscale parameterization,S,split,separate endpoint or setting,coupled-model stability with learned mesoscale parameterization,B_SIMULATION_TO_FIELD,Boundary: simulation/replay.,Scale-aware parameterization; MOM6 coupled simulations,HTML n.p. (stable named section),"The velocity-gradient-based, scale-aware parameterization is implemented in MOM6 and tested across two idealized regimes; C2 and C3 are explicit, while numerical filtering is not separately coded as C1.",https://doi.org/10.1029/2023MS004104,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18,O0,C2;C3,E1,A0,N2,representation;solver_coupling,O0: gridded or single-source observations,C2: physics-structured representation; C3: online solver coupling,E1: forecasting or emulation,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S074-C01,S074,brajard2020daml,Combining Data Assimilation and Machine Learning to Emulate a Dynamical Model from Sparse and Noisy Observations: A Case Study with the Lorenz 96 Model,DA+ML sparse-state reconstruction [state-reconstruction],state reconstruction from sparse/noisy observations,D,split,separate endpoint or setting,state reconstruction from sparse/noisy observations,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,DA/ML method; Sparse-state reconstruction experiments,HTML n.p. (stable named section),The title explicitly identifies sparse/noisy observations and a DA+ML case study; the reconstruction and learned-dynamics endpoints are split into separate configurations.,https://doi.org/10.1016/j.jocs.2020.101171,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18,O2,C0,E0,A0,N2,none,"O2: irregular, delayed, or provenance-aware observations",C0: no computation-altering physical insertion established,E0: state reconstruction or same-time inference,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S074-C02,S074,brajard2020daml,Combining Data Assimilation and Machine Learning to Emulate a Dynamical Model from Sparse and Noisy Observations: A Case Study with the Lorenz 96 Model,DA+ML learned-dynamics emulation [learned-dynamics],emulation of a dynamical model learned from assimilated observations,D,split,separate endpoint or setting,emulation of a dynamical model learned from assimilated observations,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Method—DA/ML cycle; Experimental setup; Reconstruction and forecast results,HTML n.p. (stable named section),The title explicitly identifies sparse/noisy observations and a DA+ML case study; the reconstruction and learned-dynamics endpoints are split into separate configurations.,https://doi.org/10.1016/j.jocs.2020.101171,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18,O2,C2,E1,A0,N2,representation,"O2: irregular, delayed, or provenance-aware observations",C2: physics-structured representation,E1: forecasting or emulation,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S075-C01,S075,hollinger2014sampling,Sampling-Based Robotic Information Gathering Algorithms,sampling-based robotic information gathering,robotic information-gathering objective under planned sensing actions,S,single,single evaluated endpoint and setting,robotic information-gathering objective under planned sensing actions,B_SIMULATION_TO_FIELD,Boundary: simulation/replay.,Information-gathering objective and constraints; Planning experiments,published pp. 1271–1287 (section-located),The source optimizes informative trajectories under explicit fuel/energy/time budgets and motion constraints; the retained endpoint is planning/decision support rather than an executed adaptive sensing loop.,https://doi.org/10.1177/0278364914533443,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18,O3,C0,E2,A1,N0,action_constraint,O3: action-dependent acquisition,C0: no computation-altering physical insertion established,E2: action-conditioned evolution,A1: decision support,N0: aggregate or in-domain evaluation
S076-C01,S076,cieslak2019stonefish,"Stonefish: An Advanced Open-Source Simulation Tool Designed for Marine Robotics, with a ROS Interface",Stonefish marine-robotics simulator,marine-robotics simulation fidelity and integration,S,single,single evaluated endpoint and setting,marine-robotics simulation fidelity and integration,B_SIMULATION_TO_FIELD,Boundary: simulation/replay.,Simulator architecture and physical models; Validation scenarios,published pp. 1–6 (section-located),The cited full-text method and evaluation report the retained endpoint: marine-robotics simulation fidelity and integration.,https://doi.org/10.1109/OCEANSE.2019.8867434,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18,O0,C2,E2,A1,N0,representation,O0: gridded or single-source observations,C2: physics-structured representation,E2: action-conditioned evolution,A1: decision support,N0: aggregate or in-domain evaluation
S077-C01,S077,potokar2022holoocean,HoloOcean: An Underwater Robotics Simulator,HoloOcean simulator,underwater-robotics simulation for perception/control evaluation,S,single,single evaluated endpoint and setting,underwater-robotics simulation for perception/control evaluation,B_SIMULATION_TO_FIELD,Boundary: simulation/replay.,Simulator design and sensor models; Benchmark experiments,published pp. 3040–3046 (section-located),The cited full-text method and evaluation report the retained endpoint: underwater-robotics simulation for perception/control evaluation.,https://doi.org/10.1109/ICRA46639.2022.9812353,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18,O0,C2,E2,A1,N0,representation,O0: gridded or single-source observations,C2: physics-structured representation,E2: action-conditioned evolution,A1: decision support,N0: aggregate or in-domain evaluation
S078-C01,S078,grimaldi2025stonefish,Stonefish: Supporting Machine Learning Research in Marine Robotics,Stonefish ML simulation,marine-robotics ML simulation support,S,single,single evaluated endpoint and setting,marine-robotics ML simulation support,B_SIMULATION_TO_FIELD,Boundary: simulation/replay.,Simulation framework; Machine-learning evaluation scenarios,published pp. 13605–13611 (section-located),Version of record at ICRA 2025 replaces the arXiv preprint; simulator capability remains distinct from field-readiness evidence.,https://doi.org/10.1109/ICRA55743.2025.11127421,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18,O0,C2,E2,A1,N0,representation,O0: gridded or single-source observations,C2: physics-structured representation,E2: action-conditioned evolution,A1: decision support,N0: aggregate or in-domain evaluation
S087-C01,S087,lakshminarayanan2017ensembles,Simple and Scalable Predictive Uncertainty Estimation Using Deep Ensembles,deep-ensemble uncertainty evaluation,predictive uncertainty calibration/quality under in- and out-of-distribution tests,D,single,single evaluated endpoint and setting,predictive uncertainty calibration/quality under in- and out-of-distribution tests,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Sec. 2 Deep ensembles; Sec. 3 Experiments; OOD results,published pp. 6402–6413 (section-located),"The source reports well-calibrated predictive uncertainty and separately evaluates behavior on known versus unknown distributions, supporting both N1 and N2.",https://papers.nips.cc/paper/7219-simple-and-scalable-predictive-uncertainty-estimation-using-deep-ensembles,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18,O0,C0,E0,A0,N1;N2,none,O0: gridded or single-source observations,C0: no computation-altering physical insertion established,E0: state reconstruction or same-time inference,A0: passive analysis,"N1: calibrated uncertainty; N2: shift, regime, fault, or recovery evaluation"
S088-C01,S088,ovadia2019uncertainty,Can You Trust Your Model's Uncertainty? Evaluating Predictive Uncertainty under Dataset Shift,uncertainty-under-shift evaluation,predictive uncertainty under dataset shift,D,single,single evaluated endpoint and setting,predictive uncertainty under dataset shift,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Sec. 2 Experimental setup; Sec. 3 Results under dataset shift,published pp. 13991–14002 (section-located),The title/abstract explicitly evaluates predictive uncertainty under dataset shift.,https://proceedings.neurips.cc/paper/2019/hash/8558cb408c1d76621371888657d2eb1d-Abstract.html,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18,O0,C0,E0,A0,N1;N2,none,O0: gridded or single-source observations,C0: no computation-altering physical insertion established,E0: state reconstruction or same-time inference,A0: passive analysis,"N1: calibrated uncertainty; N2: shift, regime, fault, or recovery evaluation"
S089-C01,S089,hendrycks2017ood,A Baseline for Detecting Misclassified and Out-of-Distribution Examples in Neural Networks,OOD detection benchmark,out-of-distribution example detection,D,single,single evaluated endpoint and setting,out-of-distribution example detection,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Method; Experimental evaluation on in- and out-of-distribution data,HTML n.p. (stable named section),The cited full-text method and evaluation report the retained endpoint: out-of-distribution example detection.,https://openreview.net/forum?id=Hkg4TI9xl,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18,O0,C0,E0,A0,N2,none,O0: gridded or single-source observations,C0: no computation-altering physical insertion established,E0: state reconstruction or same-time inference,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S092-C01,S092,zanna2025hybrid,A Framework for Hybrid Physics--AI Coupled Ocean Models,offline hybrid-component evaluation,offline learned component in a hybrid ocean-model framework,D,split,separate endpoint or setting,offline learned component in a hybrid ocean-model framework,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Hybrid framework; Offline component evaluation,HTML n.p. (stable named section),Preprint framework for hybrid physics--AI coupling.,https://doi.org/10.48550/arXiv.2510.22676,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18,O0,C2,E1,A0,N2,representation,O0: gridded or single-source observations,C2: physics-structured representation,E1: forecasting or emulation,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S092-C02,S092,zanna2025hybrid,A Framework for Hybrid Physics--AI Coupled Ocean Models,online hybrid physics-AI coupling,coupled physics-AI ocean-model simulation,S,split,separate endpoint or setting,coupled physics-AI ocean-model simulation,B_SIMULATION_TO_FIELD,Boundary: simulation/replay.,Hybrid framework; Online coupled evaluation,HTML n.p. (stable named section),Preprint framework for hybrid physics--AI coupling.,https://doi.org/10.48550/arXiv.2510.22676,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18,O0,C2;C3,E1,A0,N2,representation;solver_coupling,O0: gridded or single-source observations,C2: physics-structured representation; C3: online solver coupling,E1: forecasting or emulation,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S099-C01,S099,chen2026sonarkan,SonarKAN: Sonar Kolmogorov--Arnold Network for Disentangling Passive Sonar Signatures,SonarKAN passive-sonar evaluation,passive-sonar representation/disentanglement under simulated variation,S,single,single evaluated endpoint and setting,passive-sonar representation/disentanglement under simulated variation,B_SIMULATION_TO_FIELD,Boundary: simulation/replay.,SonarKAN architecture; Passive-sonar experiments and ablations,HTML n.p. (stable named section),"Simulation-based preprint; supports discussion of physics-aligned passive-sonar parameterization, not field validation.",https://doi.org/10.21203/rs.3.rs-8942861/v1,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18,O0,C2,E0,A0,N2,representation,O0: gridded or single-source observations,C2: physics-structured representation,E0: state reconstruction or same-time inference,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S105-C01,S105,chen2025underwaterpinn,Research on Intelligent Predicting Method of Underwater Acoustic Field Based on Physics-Informed Neural Network,underwater acoustic PINN prediction,underwater acoustic-field prediction,S,single,single evaluated endpoint and setting,underwater acoustic-field prediction,B_SIMULATION_TO_FIELD,Boundary: simulation/replay.,Physics-informed formulation; Underwater acoustic-field experiments,published pp. 1665305 (section-located),Physics-informed underwater acoustic-field prediction study; publisher correction of 7 July 2026 recorded without changing citation metadata.,https://doi.org/10.3389/fmars.2025.1665305,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18,O0,C1,E1,A0,N2,objective_or_projection,O0: gridded or single-source observations,"C1: constraint in the objective, projection, or inference step",E1: forecasting or emulation,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S108-C01,S108,jacox2022mhw,Global Seasonal Forecasts of Marine Heatwaves,global seasonal MHW forecast,seasonal marine-heatwave forecast skill,D,single,single evaluated endpoint and setting,seasonal marine-heatwave forecast skill,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Forecast system and event definition; Probabilistic forecast evaluation,published pp. 486–490 (section-located),"The source evaluates ensemble MHW probabilities with Brier skill score in addition to event/region/lead-time variation, supporting proper-score evidence and named-regime testing.",https://doi.org/10.1038/s41586-022-04573-9,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18,O0,C0,E1,A0,N1;N2,none,O0: gridded or single-source observations,C0: no computation-altering physical insertion established,E1: forecasting or emulation,A0: passive analysis,"N1: calibrated uncertainty; N2: shift, regime, fault, or recovery evaluation"
S109-C01,S109,mcadam2023subsurfaceMHW,Seasonal Forecasting of Subsurface Marine Heatwaves,subsurface MHW forecast,seasonal subsurface marine-heatwave forecast skill,D,single,single evaluated endpoint and setting,seasonal subsurface marine-heatwave forecast skill,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Methods—subsurface event definition; Forecast results by depth,published pp. 225 (section-located),Subsurface extreme forecasting distinguishes surface verification from depth-resolved events.,https://doi.org/10.1038/s43247-023-00892-5,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18,O0,C0,E1,A0,N2,none,O0: gridded or single-source observations,C0: no computation-altering physical insertion established,E1: forecasting or emulation,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S110-C01,S110,bonino2024mhwML,Machine Learning Methods to Predict Sea Surface Temperature and Marine Heatwave Occurrence: A Case Study of the Mediterranean Sea,Mediterranean MHW ML forecast,SST and marine-heatwave occurrence prediction,D,single,single evaluated endpoint and setting,SST and marine-heatwave occurrence prediction,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Sec. 2 Data and methods; Sec. 3 Forecast results,published pp. 417–432 (section-located),"Regional machine-learning evidence for event definition, horizon, and predictor dependence.",https://doi.org/10.5194/os-20-417-2024,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18,O0,C2,E1,A0,N2,representation,O0: gridded or single-source observations,C2: physics-structured representation,E1: forecasting or emulation,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S111-C01,S111,mogen2024marineExtremes,Multi-Month Forecasts of Marine Heatwaves and Ocean Acidification Extremes,marine heatwave/acidification extreme forecast,multi-month compound marine-extreme forecast skill,D,single,single evaluated endpoint and setting,multi-month compound marine-extreme forecast skill,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Compound-event definition and forecast method; Evaluation results,published pp. 1261–1267 (section-located),Compound-extreme forecasts used to motivate event-type-specific and multivariate evaluation.,https://doi.org/10.1038/s41561-024-01593-0,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18,O0,C0,E1,A0,N2,none,O0: gridded or single-source observations,C0: no computation-altering physical insertion established,E1: forecasting or emulation,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S112-C01,S112,andersson2021icenet,Seasonal Arctic Sea Ice Forecasting with Probabilistic Deep Learning,IceNet probabilistic sea-ice forecast,probabilistic seasonal Arctic sea-ice forecast skill,D,single,single evaluated endpoint and setting,probabilistic seasonal Arctic sea-ice forecast skill,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,IceNet architecture and probabilistic objective; Forecast evaluation; Methods,published pp. 5124 (section-located),Probabilistic sea-ice forecasting evidence used for regime and calibration discussion.,https://doi.org/10.1038/s41467-021-25257-4,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18,O0,C2,E1,A0,N1;N2,representation,O0: gridded or single-source observations,C2: physics-structured representation,E1: forecasting or emulation,A0: passive analysis,"N1: calibrated uncertainty; N2: shift, regime, fault, or recovery evaluation"
S113-C01,S113,finn2023seaiceSubgrid,Deep Learning Subgrid-Scale Parametrisations for Short-Term Forecasting of Sea-Ice Dynamics with a Maxwell Elasto-Brittle Rheology,sea-ice subgrid parameterization,short-term coupled sea-ice dynamics with learned subgrid parameterization,S,single,single evaluated endpoint and setting,short-term coupled sea-ice dynamics with learned subgrid parameterization,B_SIMULATION_TO_FIELD,Boundary: simulation/replay.,Sec. 2 Model and parameterization; Sec. 3 Coupled experiments,published pp. 2965–2991 (section-located),Subgrid sea-ice correction used to motivate resolution and closure transfer tests.,https://doi.org/10.5194/tc-17-2965-2023,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18,O0,C2;C3,E1,A0,N2,representation;solver_coupling,O0: gridded or single-source observations,C2: physics-structured representation; C3: online solver coupling,E1: forecasting or emulation,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S114-C01,S114,durand2024seaiceSurrogate,Data-Driven Surrogate Modeling of High-Resolution Sea-Ice Thickness in the Arctic,sea-ice thickness surrogate,high-resolution Arctic sea-ice-thickness surrogate simulation,S,single,single evaluated endpoint and setting,high-resolution Arctic sea-ice-thickness surrogate simulation,B_SIMULATION_TO_FIELD,Boundary: simulation/replay.,Sec. 2 Data and surrogate; Sec. 3 Reconstruction experiments,published pp. 1791–1815 (section-located),High-resolution surrogate evidence used to distinguish field skill from recovered small-scale structure.,https://doi.org/10.5194/tc-18-1791-2024,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18,O0,C2,E1,A0,N2,representation,O0: gridded or single-source observations,C2: physics-structured representation,E1: forecasting or emulation,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S115-C01,S115,beucler2024climateInvariant,Climate-Invariant Machine Learning,climate-invariant ML evaluation,offline process-model accuracy across climate regimes,S,single,single evaluated endpoint and setting,offline process-model accuracy across climate regimes,B_SIMULATION_TO_FIELD,Boundary: simulation/replay.,Climate-invariant representation; Cross-climate experiments; Methods,published pp. eadj7250 (section-located),"The source evaluates physically informed process representations offline across climate conditions/configurations; this is not a temporal forecast endpoint, while the climate-informed representation supports C2.",https://doi.org/10.1126/sciadv.adj7250,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18,O0,C2,E0,A0,N2,representation,O0: gridded or single-source observations,C2: physics-structured representation,E0: state reconstruction or same-time inference,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S116-C01,S116,sun2025grayswan,Can AI Weather Models Predict Out-of-Distribution Gray Swan Tropical Cyclones?,gray-swan cyclone OOD evaluation,OOD tropical-cyclone forecast skill,D,single,single evaluated endpoint and setting,OOD tropical-cyclone forecast skill,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Gray-swan evaluation design; High-intensity cyclone results; Methods,published pp. e2420914122 (section-located),Rare high-intensity tropical-cyclone evaluation transferred cautiously to ocean-intelligence OOD design.,https://doi.org/10.1073/pnas.2420914122,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18,O0,C2,E1,A0,N2,representation,O0: gridded or single-source observations,C2: physics-structured representation,E1: forecasting or emulation,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S118-C01,S118,weiss2023robustLocalization,Towards Robust Data-Driven Underwater Acoustic Localization: A Deep CNN Solution with Performance Guarantees for Model Mismatch,robust acoustic localization,underwater acoustic localization under model mismatch,S,single,single evaluated endpoint and setting,underwater acoustic localization under model mismatch,B_SIMULATION_TO_FIELD,Boundary: simulation/replay.,Signal model and robust estimator; Mismatch experiments,published pp. 1–5 (section-located),Model-mismatch localization evidence used for acoustic OOD and consequence evaluation.,https://doi.org/10.1109/ICASSP49357.2023.10094981,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18,O0,C2,E0,A0,N2,representation,O0: gridded or single-source observations,C2: physics-structured representation,E0: state reconstruction or same-time inference,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S120-C01,S120,lowe2025loopcurrent,Long-Term Predictions of Loop Current Eddy Evolutions Using OceanNet: A Fourier Neural Operator-Based Data-Driven Ocean Emulator,OceanNet Loop Current prediction,long-term Loop Current eddy evolution prediction,D,single,single evaluated endpoint and setting,long-term Loop Current eddy evolution prediction,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,OceanNet method and data; Loop Current forecast evaluation,HTML n.p. (stable named section),Regional eddy-evolution evidence used for dynamically difficult regime and long-rollout discussion.,https://doi.org/10.1175/AIES-D-24-0039.1,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18,O0,C2,E1,A0,N2,representation,O0: gridded or single-source observations,C2: physics-structured representation,E1: forecasting or emulation,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S121-C01,S121,zhang2023verticalMHW,Vertical Structures of Marine Heatwaves,vertical MHW structure analysis,vertical marine-heatwave structure characterization,D,single,single evaluated endpoint and setting,vertical marine-heatwave structure characterization,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Methods—event identification; Results—vertical structure,published pp. 6483 (section-located),Observation-based vertical marine-heatwave structure used to motivate depth-resolved evaluation.,https://doi.org/10.1038/s41467-023-42219-0,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18,O1,C0,E0,A0,N2,none,O1: multimodal observations,C0: no computation-altering physical insertion established,E0: state reconstruction or same-time inference,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
